instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,code,sem,title,iscross
"Grace,Claire",..T.R.. 01:20PM-02:40PM;,TBA,24,6,6,24,NA,3,3,4,2,FALSE,ARHA251,Fall2018,Artists Design Exhibitions,FALSE
"Grace,Claire",..T.R.. 08:50AM-10:10AM;,TBA,35,9,8,35,NA,2,2,7,7,FALSE,ARHA253,Fall2018,Art After 1945,TRUE
"Siry,Joseph M.",.M.W.F. 09:50AM-10:40AM;,TBA,60,10,10,60,NA,15,15,5,5,FALSE,ARHA258,Fall2018,Contemporary World Architecture,FALSE
STAFF,..T.R.. 02:50PM-04:10PM;,TBA,19,4,4,19,NA,2,2,4,3,FALSE,ARHA284,Fall2018,Buddhist Art and Architecture in East Asia,TRUE
"Kuenzli,Katherine M.",.M.W... 10:50AM-12:10PM;,TBA,15,4,4,15,NA,4,3,0,NA,FALSE,ARHA339,Fall2018,Modernism and the Total Work of Art,TRUE
STAFF,..T.R.. 10:20AM-11:40AM;,TBA,12,4,4,12,0,2,2,0,NA,FALSE,ARHA379,Fall2018,Sacred Landscapes of Japan,TRUE
"Wagoner,Phillip B.",.....F. 01:20PM-04:10PM;,TBA,14,4,3,14,NA,4,2,1,NA,FALSE,ARHA382,Fall2018,Treasure-Trove: Numismatics and the Archaeology of Money,TRUE
"Aksamija,Nadja    Kuenzli,Katherine M.",.M.W... 10:50AM-12:10PM;,TBA,44,4,4,44,NA,6,5,13,12,FALSE,ARHA110,Spring2019,Introduction to Western Art: Renaissance to Modern,FALSE
"Aksamija,Nadja",.M.W... 01:20PM-02:40PM;,TBA,30,4,4,30,NA,3,3,8,8,FALSE,ARHA224,Spring2019,Italian Art and Architecture of the 16th Century,FALSE
"Parslow,Christopher",..T.R.. 02:50PM-04:10PM;,TBA,19,3,3,19,NA,4,4,3,2,FALSE,CCIV234,Spring2019,Art and Society in Ancient Pompeii,TRUE
"Gottschalk,Peter S.",..T.R.. 08:50AM-10:10AM;,TBA,18,2,2,18,NA,4,4,6,0,FALSE,RELI291,Spring2019,"From Jerusalem to Ground Zero: Muslim, Jewish, Christian, Sioux, and Hindu Notions of Sacredness",TRUE
"Kuenzli,Katherine M.",.M.W... 02:50PM-04:10PM;,TBA,30,4,4,30,NA,4,4,8,6,FALSE,ARHA241,Spring2019,"Introduction to European Avant-Garde, 1880--1940",TRUE
"Siry,Joseph M.",.M.W... 01:20PM-02:40PM;,TBA,40,5,5,40,NA,5,5,10,10,FALSE,ARHA246,Spring2019,"American Architecture and Urbanism, 1770--1914",TRUE
"Grace,Claire",..T.R.. 08:50AM-10:10AM;,TBA,35,9,8,35,NA,2,2,7,7,FALSE,ARHA252,Spring2019,Contemporary Art Since 1980,TRUE
"Siry,Joseph M.",.M.W.F. 09:50AM-10:40AM;,TBA,60,10,10,60,NA,10,10,10,10,FALSE,ARHA254,Spring2019,Architecture of the 20th Century,TRUE
STAFF,..T.R.. 02:50PM-04:10PM;,TBA,19,4,4,19,NA,2,2,4,3,FALSE,ARHA276,Spring2019,Art in Taiwan Under Japan,TRUE
STAFF,..T.R.. 10:20AM-11:40AM;,TBA,19,4,4,19,NA,2,2,4,3,FALSE,ARHA279,Spring2019,Arts of East Asia: From Yangshao Spirals to Erotic Woodblock Prints,FALSE
"Wagoner,Phillip B.",..T.R.. 01:20PM-02:40PM;,TBA,24,5,5,24,NA,5,5,4,0,FALSE,ARHA286,Spring2019,Empire and Erotica: Twenty-three Masterworks of Indian Painting,FALSE
"Katz,Melissa R.",..T.R.. 02:50PM-04:10PM;,TBA,16,4,4,16,NA,4,4,0,NA,FALSE,ARHA310,Spring2019,"Muslims, Jews, and Christians: Getting Along in Medieval Spain",TRUE
"Grace,Claire",..T.R.. 01:20PM-02:40PM;,TBA,15,5,4,15,NA,2,2,2,0,FALSE,AMST361,Spring2019,Thresholds of Art and Activism Since the 1960s,TRUE
"Randall,Julia A.",.M.W... 10:00AM-12:30PM;,TBA,25,NA,NA,25,NA,NA,4,8,13,FALSE,ARST131,Fall2018,Drawing I,FALSE
"TenEyck,Kate",..T.R.. 06:00PM-08:30PM;,TBA,25,0,0,25,NA,3,4,9,9,FALSE,ARST131,Fall2018,Drawing I,FALSE
STAFF,..T.R.. 09:00AM-11:30AM;,TBA,25,0,0,25,NA,3,4,9,9,FALSE,ARST131,Fall2018,Drawing I,FALSE
"Chenier,Christopher James",.M.W... 10:00AM-12:30PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST190,Fall2018,Digital Art,FALSE
"Schiff,Jeffrey",.M.W... 01:20PM-03:50PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST223,Fall2018,Topics in Studio Art: Information,FALSE
"Huge,Elijah",..T.R.. 09:00AM-11:30AM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST233,Fall2018,Studies in Computer-based Modelling and Digital Fabrication,FALSE
"Huge,Elijah",..T.R.. 01:20PM-03:50PM;,TBA,14,0,0,14,NA,2,4,8,0,FALSE,ARST235,Fall2018,Architecture I,FALSE
"Schorr,David",.M.W... 01:20PM-03:50PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST237,Fall2018,Printmaking,FALSE
"Telfair,Tula",..T.R.. 09:00AM-11:30AM;,TBA,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST239,Fall2018,Painting I,FALSE
"Telfair,Tula",..T.R.. 01:20PM-03:50PM;,TBA,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST239,Fall2018,Painting I,FALSE
"Schorr,David",.M..... 07:30PM-10:00PM; ...W... 06:30PM-08:00PM;,TBA,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST242,Fall2018,Typography,FALSE
"Schiff,Jeffrey",.M.W... 10:00AM-12:30PM;,TBA,14,1,1,14,NA,0,0,6,6,FALSE,ARST245,Fall2018,Sculpture I,FALSE
"Rudensky,Sasha",..T.R.. 09:00AM-11:30AM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST251,Fall2018,Photography I,FALSE
STAFF,TBA;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST253,Fall2018,Digitial Photography I,FALSE
"Shinohara,Keiji",..T.R.. 09:00AM-11:30AM;,TBA,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST260,Fall2018,Introduction to Sumi-e Painting,TRUE
"Shinohara,Keiji",..T.R.. 01:20PM-03:50PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST261,Fall2018,Alternative Printmaking: Beginning Japanese Woodblock Technique,TRUE
"Randall,Julia A.",.M.W... 01:20PM-03:50PM;,TBA,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST332,Fall2018,Drawing II,FALSE
"TenEyck,Kate",..T.R.. 09:00AM-11:30AM;,TBA,25,0,0,25,NA,2,5,8,10,FALSE,ARST131,Spring2019,Drawing I,FALSE
STAFF,.M.W... 10:00AM-12:30PM;,TBA,25,0,0,25,NA,2,5,8,10,FALSE,ARST131,Spring2019,Drawing I,FALSE
STAFF,.M.W... 01:20PM-03:50PM;,TBA,25,0,0,25,NA,2,5,8,10,FALSE,ARST131,Spring2019,Drawing I,FALSE
"Huge,Elijah",..T.R.. 01:20PM-03:50PM;,TBA,14,0,2,14,NA,1,1,5,5,FALSE,ARST235,Spring2019,Architecture I,FALSE
"Telfair,Tula",..T.R.. 01:20PM-03:50PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST239,Spring2019,Painting I,FALSE
"Schorr,David",.M..... 07:30PM-10:00PM; ....R.. 06:00PM-08:30PM;,TBA,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST243,Spring2019,Graphic Design,FALSE
"Schiff,Jeffrey",.M.W... 10:00AM-12:30PM;,TBA,14,1,2,14,NA,0,1,5,5,FALSE,ARST245,Spring2019,Sculpture I,FALSE
"Rudensky,Sasha",..T.R.. 01:20PM-03:50PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST251,Spring2019,Photography I,FALSE
"Shinohara,Keiji",..T.R.. 01:20PM-03:50PM;,TBA,16,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST260,Spring2019,Introduction to Sumi-e Painting,TRUE
"Chenier,Christopher James",.M.W... 10:00AM-12:30PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST285,Spring2019,"Generative Art, Computational Media, and Creative Coding",TRUE
"Huge,Elijah",..T.R.. 09:00AM-11:30AM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST336,Spring2019,Architecture II,FALSE
"Schorr,David",.M.W... 01:20PM-03:50PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST338,Spring2019,Printmaking II,FALSE
"Telfair,Tula",..T.R.. 09:00AM-11:30AM;,TBA,10,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST340,Spring2019,"Painting II: The Shifting Landscapes of the Mind, Nature, and History",TRUE
"Schiff,Jeffrey",.M.W... 01:20PM-03:50PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST346,Spring2019,Sculpture II,FALSE
"Rudensky,Sasha",..T.R.. 09:00AM-11:30AM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,ARST352,Spring2019,Photography II,FALSE
"Zhu,Xiaomiao",...W... 07:30PM-08:20PM;,TBA,26,0,0,26,NA,0,0,8,18,FALSE,CHIN101,Fall2018,Chinese Character Writing,FALSE
"Zhu,Xiaomiao",.MTWRF. 10:50AM-11:40AM;,TBA,12,0,0,12,NA,0,1,3,8,FALSE,CHIN103,Fall2018,Elementary Chinese I,FALSE
"Zhu,Xiaomiao",.MTWRF. 11:50AM-12:40PM;,TBA,12,1,2,12,NA,1,1,3,4,FALSE,CHIN103,Fall2018,Elementary Chinese I,FALSE
"Liu,Mengjun",.M.W.F. 01:20PM-02:10PM;,TBA,12,0,0,12,NA,0,2,4,6,FALSE,CHIN105,Fall2018,Elementary Chinese for Heritage Learners,FALSE
"Liu,Mengjun",.M.WRF. 09:50AM-10:40AM;,TBA,12,1,3,12,NA,0,0,5,3,FALSE,CHIN205,Fall2018,Intermediate Chinese I,FALSE
"Liu,Mengjun",.M.W.F. 10:50AM-11:40AM;,TBA,18,6,2,18,NA,4,2,2,2,FALSE,CHIN217,Fall2018,Third-Year Chinese I,FALSE
"Huang,Yu-ting",.M.W... 08:20AM-09:40AM;,TBA,15,3,3,15,NA,3,2,2,2,FALSE,CHIN221,Fall2018,Fourth-Year Chinese I,FALSE
"Zhu,Xiaomiao",...W... 07:30PM-08:20PM;,TBA,26,0,0,26,NA,0,0,8,18,FALSE,CHIN102,Spring2019,Chinese Character Writing,FALSE
"Zhu,Xiaomiao",.MTWRF. 08:50AM-09:40AM;,TBA,12,1,1,12,NA,1,1,3,5,FALSE,CHIN104,Spring2019,Elementary Chinese II,FALSE
"Zhu,Xiaomiao",.MTWRF. 09:50AM-10:40AM;,TBA,12,1,1,12,NA,1,1,3,5,FALSE,CHIN104,Spring2019,Elementary Chinese II,FALSE
"Liu,Mengjun",.M.WRF. 08:50AM-09:40AM;,TBA,12,1,3,12,NA,0,0,5,3,FALSE,CHIN206,Spring2019,Intermediate Chinese II,FALSE
"Liu,Mengjun",.M.W.F. 10:50AM-11:40AM;,TBA,18,6,2,18,NA,4,2,2,2,FALSE,CHIN218,Spring2019,Third-Year Chinese II,FALSE
"Szegedy-Maszak,Andrew",..T.R.. 08:50AM-10:10AM;,TBA,15,NA,NA,15,NA,NA,NA,NA,15,FALSE,NANA,NANA,"Three Great Myths: Prometheus, Persephone, and Dionysus (FYS)",FALSE
"Cameron,Ron",..T.R.. 02:50PM-04:10PM;,TBA,20,0,4,20,NA,0,8,8,0,FALSE,RELI215,Fall2018,Politics and Piety in Early Christianities,TRUE
"Irani,Tushar",..T.R.. 10:20AM-11:40AM;,TBA,50,5,5,50,NA,5,5,15,15,FALSE,PHIL201,Fall2018,Philosophical Classics I: Ancient Western Philosophy,TRUE
"Witzke,Serena S.",.M.W... 02:50PM-04:10PM;,TBA,25,2,3,25,NA,2,2,8,8,FALSE,CCIV228,Fall2018,Classical Allusions in Film,FALSE
"Parslow,Christopher",..T.R.. 10:20AM-11:40AM;,TBA,60,4,5,60,NA,3,3,20,25,FALSE,CCIV232,Fall2018,Roman History,TRUE
"Torgerson,Jesse Wayne",..T.R.. 02:50PM-04:10PM;,TBA,32,4,4,32,NA,4,4,8,8,FALSE,COL247,Spring2019,The Fall of Rome and Other Stories,TRUE
"Witzke,Serena S.",.M.W... 02:50PM-04:10PM;,TBA,50,5,5,50,NA,5,5,15,15,FALSE,CCIV205,Spring2019,Introduction to Classical Mythology,FALSE
"Visvardi,Eirene",...W... 07:10PM-10:00PM;,TBA,19,4,4,19,NA,6,7,6,0,FALSE,CCIV324,Spring2019,"Tales of Hope or States of Delusion? Utopias, Past and Present",FALSE
"Watanabe,Takeshi",..T.R.. 01:20PM-02:40PM;,TBA,15,NA,NA,15,NA,NA,NA,NA,15,FALSE,CEAS157,Fall2018,Legacies of WWII in Postwar Japan,FALSE
"Cho,Joan",..T.R.. 10:20AM-11:40AM;,TBA,35,3,5,35,NA,3,4,10,10,FALSE,CEAS160,Fall2018,Social and Political Changes in Korea,TRUE
"Huang,Yu-ting",.M.W... 02:50PM-04:10PM;,TBA,30,2,2,30,0,3,3,10,10,FALSE,CEAS202,Fall2018,Narrating China: Introduction to Modern and Contemporary Chinese Literature,FALSE
"Watanabe,Takeshi",..T.R.. 02:50PM-04:10PM;,TBA,30,4,4,30,0,4,4,8,6,FALSE,CEAS217,Fall2018,"Samurai: Imagining, Performing Japanese Identity",FALSE
"Wang,Ao",..T.R.. 02:50PM-04:10PM;,TBA,19,4,4,19,NA,3,4,2,2,FALSE,CEAS225,Fall2018,Introduction to Chinese Poetry,FALSE
STAFF,..T.R.. 08:50AM-10:10AM;,TBA,40,2,3,40,NA,2,3,15,15,FALSE,RELI242,Fall2018,Buddhism: An Introduction,TRUE
STAFF,.M..... 07:00PM-10:00PM; S...... 02:00PM-05:00PM;,TBA,18,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,DANC244,Fall2018,"Delicious Movement: Time Is Not Even, Space Is Not Empty",TRUE
"Angle,Stephen",.M.W... 02:50PM-04:10PM;,TBA,25,3,3,25,0,3,2,7,7,FALSE,PHIL222,Fall2018,Global Philosophy,TRUE
"Kanet,Sharisse Leigh",.M.W... 02:50PM-04:10PM;,TBA,25,4,4,25,NA,3,2,6,6,FALSE,PHIL205,Fall2018,Classical Chinese Philosophy,TRUE
"Bonin,John P.",..T.R.. 08:50AM-10:10AM;,TBA,35,5,10,35,NA,5,5,10,0,FALSE,ECON263,Fall2018,China's Economic Transformation,TRUE
"Willarty,Sarah",..T.R.. 02:50PM-04:10PM;,TBA,25,0,0,25,NA,0,0,0,25,FALSE,GOVT285,Fall2018,Losers of World War II,TRUE
"Aalgaard,Scott W.",..T.R.. 01:20PM-02:40PM;,TBA,20,5,5,20,0,4,3,3,0,FALSE,CEAS285,Fall2018,Pop Music Revolutionaries in Modern and Contemporary Japan,FALSE
"Cho,Joan",..T.R.. 01:20PM-02:40PM;,TBA,15,4,3,15,0,3,3,2,0,FALSE,CEAS385,Fall2018,Legacies of Authoritarian Politics,TRUE
"Aalgaard,Scott W.",.M.W... 02:50PM-04:10PM;,TBA,25,6,6,25,NA,5,5,3,0,FALSE,CEAS390,Fall2018,Politics and Society in Japanese Women's Writing,TRUE
"Kim,Jin Hi",...W... 01:20PM-03:20PM;,TBA,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC413,Fall2018,Korean Drumming and Creative Music,TRUE
"Merjan,Barbara",.M..... 01:10PM-03:10PM;,TBA,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC416,Fall2018,Beginning Taiko--Japanese Drumming Ensemble,TRUE
"Merjan,Barbara",.M..... 03:40PM-05:40PM;,TBA,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC418,Fall2018,Advanced Taiko--Japanese Drumming Ensemble,TRUE
STAFF,.M.W... 04:40PM-06:40PM;,TBA,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC428,Fall2018,Chinese Music Ensemble,TRUE
"Hatano-Cohen,Miyuki",.MTWRF. 08:50AM-09:40AM;,TBA,12,1,2,12,NA,1,1,3,4,FALSE,JAPN103,Fall2018,Elementary Japanese I,FALSE
"Hatano-Cohen,Miyuki",.MTWRF. 09:50AM-10:40AM;,TBA,12,1,2,12,NA,1,1,3,4,FALSE,JAPN103,Fall2018,Elementary Japanese I,FALSE
"Maruta,Naho",.MT.RF. 08:50AM-09:40AM;,TBA,18,1,2,18,NA,1,2,10,2,FALSE,JAPN205,Fall2018,Intermediate Japanese I,FALSE
"Hatano-Cohen,Miyuki",.M.W.F. 12:20PM-01:10PM;,TBA,16,2,3,16,NA,2,2,4,3,FALSE,JAPN217,Fall2018,Third-Year Japanese I,FALSE
"Maruta,Naho",..T.R.. 10:20AM-11:40AM;,TBA,15,5,1,15,NA,4,1,2,2,FALSE,JAPN219,Fall2018,Fourth-Year Japanese I: Conceptualizations of Identity in Contemporary Japan,FALSE
"Back,Hyejoo",.M.W.F. 09:50AM-10:40AM;,TBA,18,0,0,18,NA,3,5,5,5,FALSE,KREA153,Fall2018,Elementary Korean I,FALSE
"Back,Hyejoo",.M.W.F. 10:50AM-11:40AM;,TBA,18,0,0,18,0,3,5,5,5,FALSE,KREA153,Fall2018,Elementary Korean I,FALSE
STAFF,.M.W.F. 12:20PM-01:10PM;,TBA,15,0,0,15,NA,4,5,4,2,FALSE,KREA217,Fall2018,Advanced Korean I,FALSE
"Aalgaard,Scott W.",..T.R.. 02:50PM-04:10PM;,TBA,20,2,3,20,NA,0,0,15,0,FALSE,CEAS201,Spring2019,Proseminar,FALSE
"Cho,Joan",..T.R.. 02:50PM-04:10PM;,TBA,25,5,5,25,0,5,5,5,0,FALSE,CEAS205,Spring2019,Democracy and Civil Society in East Asia,TRUE
"Cho,Joan",..T.R.. 10:20AM-11:40AM;,TBA,25,3,5,25,NA,3,5,5,4,FALSE,CEAS206,Spring2019,Korean Politics Through Film,TRUE
"Watanabe,Takeshi",..T.R.. 02:50PM-04:10PM;,TBA,30,3,4,30,NA,3,4,8,8,FALSE,CEAS207,Spring2019,Foundations of East Asian Cultures,FALSE
"Watanabe,Takeshi",..T.R.. 01:20PM-02:40PM;,TBA,30,3,4,30,NA,3,4,8,8,FALSE,CEAS210,Spring2019,From Tea to Connecticut Rolls: Defining Japanese Culture Through Food,FALSE
"Wang,Ao",..T.R.. 02:50PM-04:10PM;,TBA,19,4,4,19,NA,3,4,2,2,FALSE,CEAS213,Spring2019,The Chinese Canon and Its Afterlife,FALSE
"Zheng,Su",..T.R.. 02:50PM-04:10PM;,TBA,15,NA,NA,15,NA,NA,NA,NA,15,FALSE,MUSC127,Spring2019,Popular Music in Contemporary China,TRUE
"Angle,Stephen",..T.R.. 01:20PM-02:40PM;,TBA,25,5,5,25,0,5,5,5,0,FALSE,PHIL263,Spring2019,Modern Chinese Philosophy,TRUE
"Huang,Yu-ting",...W... 07:10PM-10:00PM;,TBA,15,2,3,15,0,2,2,3,3,FALSE,CEAS355,Spring2019,Between Asia and Asian America,TRUE
"Aalgaard,Scott W.",...W... 01:20PM-04:10PM;,TBA,15,5,3,15,NA,3,2,2,0,FALSE,CEAS395,Spring2019,From Fascism to Fukushima: Navigating the Everyday in Modern Japan,FALSE
"Kim,Jin Hi",...W... 01:20PM-03:20PM;,TBA,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC413,Spring2019,Korean Drumming and Creative Music,TRUE
"Merjan,Barbara",.M..... 01:10PM-03:10PM;,TBA,19,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC416,Spring2019,Beginning Taiko--Japanese Drumming Ensemble,TRUE
"Merjan,Barbara",.M..... 03:40PM-05:40PM;,TBA,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC418,Spring2019,Advanced Taiko--Japanese Drumming Ensemble,TRUE
STAFF,.M.W... 04:40PM-06:40PM;,TBA,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,MUSC428,Spring2019,Chinese Music Ensemble,TRUE
"Maruta,Naho",.MTWRF. 08:50AM-09:40AM;,TBA,12,1,1,12,NA,1,1,3,5,FALSE,JAPN104,Spring2019,Elementary Japanese II,FALSE
"Maruta,Naho",.MTWRF. 09:50AM-10:40AM;,TBA,12,1,1,12,NA,1,1,3,5,FALSE,JAPN104,Spring2019,Elementary Japanese II,FALSE
"Maruta,Naho",.MTW.F. 12:20PM-01:10PM;,TBA,18,1,2,18,NA,1,2,10,2,FALSE,JAPN206,Spring2019,Intermediate Japanese II,FALSE
"Hatano-Cohen,Miyuki",.M.W.F. 12:20PM-01:10PM;,TBA,16,2,2,16,NA,2,2,5,3,FALSE,JAPN218,Spring2019,Third-Year Japanese II,FALSE
"Hatano-Cohen,Miyuki",...W.F. 02:50PM-04:10PM;,TBA,15,5,1,15,NA,4,1,2,2,FALSE,JAPN220,Spring2019,Fourth-Year Japanese II,FALSE
"Back,Hyejoo",.M.W.F. 09:50AM-10:40AM;,TBA,18,0,0,18,NA,3,5,5,5,FALSE,KREA154,Spring2019,Elementary Korean II,FALSE
"Back,Hyejoo",.M.W.F. 10:50AM-11:40AM;,TBA,18,0,0,18,NA,3,5,5,5,FALSE,KREA154,Spring2019,Elementary Korean II,FALSE
STAFF,.M.W.F. 02:50PM-03:40PM;,TBA,15,2,2,15,NA,4,3,2,2,FALSE,KREA218,Spring2019,Advanced Korean II,FALSE
"Shepard,Sadia Dana",.M..... 01:20PM-04:10PM; ...W... 01:20PM-04:10PM;,TBA,12,NA,NA,12,0,NA,NA,NA,12,FALSE,FILM104,Fall2018,Documentary Filmmaking: An Introduction to Project Learning,FALSE
"Gonzalez,Bernardo Antonio",..T.R.. 02:50PM-04:10PM;,TBA,19,10,5,19,NA,1,1,1,1,FALSE,FIST301,Fall2018,The History of Spanish Cinema,TRUE
"Higgins,Scott",..T.R.. 08:50AM-12:10PM;,TBA,400,50,50,400,NA,50,50,100,100,FALSE,FILM307,Fall2018,"The Language of Hollywood: Styles, Storytelling, and Technology",FALSE
"Longenecker,Marc Robert",..T.R.. 01:20PM-04:40PM;,TBA,24,12,12,24,NA,NA,NA,NA,NA,FALSE,FILM322,Fall2018,Alfred Hitchcock,FALSE
"Higgins,Scott",.M.W... 01:20PM-04:40PM;,TBA,50,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM324,Fall2018,Visual Storytelling: The History and Art of Hollywood's Master Storytellers,FALSE
"Rai,Swapnil",..T.R.. 08:50AM-12:10PM;,TBA,19,8,9,19,NA,1,1,0,NA,FALSE,FILM329,Fall2018,Introduction to Global Bollywood,FALSE
STAFF,.....F. 01:20PM-04:10PM;,TBA,12,3,3,12,NA,3,3,0,0,FALSE,FILM331,Fall2018,"Video Games as/and the Moving Image: Art, Aesthetics, and Design",TRUE
"Traube,Elizabeth G.",..T.R.. 10:20AM-11:40AM;,TBA,35,4,7,35,0,8,9,7,NA,FALSE,ANTH244,Fall2018,Television: The Domestic Medium,TRUE
"Lensing,Leo A.",.M..... 01:20PM-04:10PM; ...W... 01:20PM-04:10PM;,TBA,19,3,3,19,NA,2,3,6,2,FALSE,FILM352,Fall2018,From Caligari to Hitler: Weimar Cinema in Context,TRUE
"Lensing,Leo A.",..T.... 01:20PM-04:10PM; ....R.. 01:20PM-04:10PM;,TBA,19,9,10,19,NA,0,0,0,NA,FALSE,FILM386,Fall2018,The Long and the Short: Fritz Lang in Berlin and Hollywood,FALSE
"Longenecker,Marc Robert",.M.W... 08:50AM-12:10PM;,TBA,19,9,10,19,NA,NA,NA,NA,NA,FALSE,FILM387,Fall2018,Seminar on Television Series and Aesthetics,FALSE
"Slowik,Michael James",.M.W... 01:20PM-04:40PM;,TBA,19,9,10,19,NA,NA,NA,NA,NA,FALSE,FILM389,Fall2018,Film Genres: The Western,FALSE
"Slowik,Michael James",..T.R.. 01:20PM-04:40PM;,TBA,19,10,9,19,0,NA,NA,NA,NA,FALSE,FILM392,Fall2018,"Cinema Stylists: Sternberg, Ophuls, Sirk, Fellini",FALSE
"Collins,Stephen Edward",...W.F. 01:20PM-04:10PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM450,Fall2018,Sight and Sound Workshop,FALSE
"Collins,Stephen Edward",..T.R.. 01:20PM-04:10PM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM450,Fall2018,Sight and Sound Workshop,FALSE
"Parkin,Richard",..T.R.. 08:50AM-11:50AM;,TBA,12,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM451,Fall2018,Introduction to Digital Filmmaking,FALSE
STAFF,.M..... 01:20PM-04:10PM;,TBA,14,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM454,Fall2018,Screenwriting,FALSE
"Parkin,Richard",...W.F. 08:50AM-11:50AM;,TBA,7,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM456,Fall2018,Advanced Filmmaking,FALSE
"Rucnov,Mirko",...W.F. 08:50AM-11:50AM;,TBA,11,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FILM456,Fall2018,Advanced Filmmaking,FALSE
