instructor,time,location,maxcap,srmajor,jrmajor,available,grad,srnon,jrnon,so,fr,ispoi,section,code,sem,division,gradingmode,prereq,fulfills,title,iscross,description
"Maines,Clark",..T.R.. 08:50AM-10:10AM;,BOGH113;,19,3,3,10,NA,3,3,4,3,FALSE,01,ARHA216,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),The Gothic Cathedral,TRUE,"Beginning with a short survey of monuments of the Romanesque period (ca. 950-ca. 1100), this course will study the continuities and changes in the forms, meanings, and contexts of religious and secular buildings during the Gothic period (ca. 1125-ca. 1350). While primary emphasis will be given to architecture in relation to function and meaning, consideration will also be given to sculpture, painting, and the so-called minor arts."
"Maines,Clark",..T.R.. 01:20PM-02:40PM;,BOGH113;,19,3,3,4,NA,3,3,4,3,FALSE,01,ARHA218,Fall2016,HA ART,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(CCIV)(CLAS)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),Medieval Archaeology,TRUE,This course will serve as an introduction to the archaeology of medieval Europe. Emphasis will be on methods and theory and on recent trends in the field. Material will be drawn mainly from North European secular and ecclesiastical sites. Students interested in participating in the Wesleyan summer archaeological program in France are strongly urged to take this course.
"Noyes,Ruth",..T.R.. 01:20PM-02:40PM;,BOGH112;,35,6,6,9,NA,5,4,7,7,FALSE,01,ARHA221,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),Early Renaissance Art and Architecture in Italy,TRUE,"This course surveys key monuments of Italian art and architecture produced between circa 1300 and 1500. Focusing on major centers such as Florence, Milan, Rome, and Venice, as well as smaller courts such as Urbino and Mantua, it considers the works and careers of the most important artists and architects of the period, among them Giotto, Brunelleschi, Donatello, Giovanni Bellini, Botticelli, and Leonardo da Vinci. Monuments are studied in their broader intellectual, political, and religious context, with particular attention paid to issues of patronage, devotion, gender, and spectatorship. Class discussions are based on close readings of primary sources and scholarly texts on a wide range of topics."
"Gottschalk,Peter S.",.M.W... 10:50AM-12:10PM;,FISK122;,19,NA,NA,6,NA,NA,NA,NA,19,FALSE,01,RELI291,Fall2016,SBS RELI,Graded,None,(ARST)(RELI),"From Jerusalem to Ground Zero: Muslim, Jewish, Christian, Sioux, and Hindu Notions of Sacredness",TRUE,"Many Jews, Christians, and Muslims view Jerusalem as a ""sacred"" place. But what does this mean? How does a place--or an object or person--become sacred, holy, revered? Is Ground Zero sacred? If so, how do we compare the destruction of an office building that makes part of Manhattan sacred and Native American efforts to protect venerated sites from ""development"" that they describe as ""desecration""? When does a stone sculpture become an embodiment of a Hindu deity?Using examples such as Jewish, Christian, and Muslim views of Jerusalem, Lakota Sioux recognition of revered places and wicasa wakan (medicine men), and Hindu engagements with divine images, this seminar will explore these questions through readings and site visits to a temple, mosque, and church.This course is made possible by a grant from the National Endowment for the Humanities. Any views, findings, conclusions, or recommendations expressed in this seminar do not necessarily reflect those of the National Endowment for the Humanities."
"Kuenzli,Katherine M.",.M.W... 02:50PM-04:10PM;,BOGH112;,30,4,4,9,NA,5,5,6,6,FALSE,01,ARHA241,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(FRST-MN)(FRST)(GRST-MN)(GRST)(RMST),"Introduction to European Avant-Garde, 1880-1940",TRUE,"In the years building up to and directly following World War I, artists, philosophers, and politicians called into question art's role, proposing both new relationships to society as well as path-breaking formal vocabularies that approached, and at times crossed, the threshold of abstraction. This deep uncertainty regarding art's relationship to society coincided with an era of unprecedented formal innovation. Artists struggled to define the costs and benefits of abstraction versus figuration, moving abruptly, even violently, between the two idioms. The extremism of artistic solutions speaks to a fundamental instability, if not outright crisis, in European art, society, and politics. This course will introduce students to the major avant-garde art movements from the first half of the 20th century as they took root in France, Germany, Italy, Holland, and Russia. Our focus will be on painting, but we will also look at attempts to go beyond painting in an attempt to gain greater immediacy or social relevance for art. Topics that will receive special emphasis include the relationship between abstraction and figuration, the impact of primitivism and contact with non-Western arts, modernism's relationship to mass culture, modernism and classicism, war and revolution, gender and representation, art and dictatorship, and the utopian impulse to have the arts redesign society as a whole."
"Siry,Joseph M.",.M.W... 01:20PM-02:40PM;,BOGH112;,40,7,7,13,NA,7,7,7,5,FALSE,01,ARHA246,Fall2016,HA ART,Graded,None,(AMST)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(IDEA-MN),"American Architecture and Urbanism, 1770-1914",TRUE,"This course considers the development of architecture and urbanism in the United States from the late 18th through the early 20th century. Major themes include the relationship of American to European architectures; the varied symbolic functions of architecture in American political, social, and cultural history; and the emergence of American traditions in the design of landscapes and planning for modern cities, especially Boston, New York, Philadelphia, Washington, D.C., Chicago, Los Angeles, and San Francisco. The course considers houses for different sites and social classes, government buildings, churches and synagogues, colleges, and commercial architecture of different kinds, include the origins of the skyscraper. Urban environments include cemeteries, public parks, streets, and civic centers. Movements include neoclassicism, the Gothic and Romanesque revivals, the Chicago School, the arts and crafts movement, and the City Beautiful movement. Major figures studied include Thomas Jefferson, Benjamin Latrobe, Frederick Law Olmsted, Frank Furness, Henry Hobson Richardson, Louis Sullivan, the early work of Frank Lloyd Wright, Greene and Greene, Bernard Maybeck, Julia Morgan, and McKim, Mead and White, among many others."
"Grace,Claire",..T.R.. 02:50PM-04:10PM;,BOGH112;,35,9,8,0,NA,2,2,7,7,FALSE,01,ARHA253,Fall2016,HA ART,Graded,None,(AMST)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Art After 1945,TRUE,"This course examines artistic production in the United States between 1945 and 1980. Artists in this period attempted to respond to the ""caesura of civilization"" brought about by the Holocaust and World War II, to contend with the consolidation of postwar consumer capitalism and mass culture, and to situate their work in relation to the far-reaching social upheavals of the 1960s and `70s. Practices linked to the early 20th-century avant-garde (such as abstraction, the ready-made, Dada, and surrealism) echoed in these years as attention shifted from the canvas and studio to greatly expanded contexts of reception and public experience. The boundaries of the art object transformed, in turn, as artists developed new forms and new models of spectatorship to confront a world that had placed enormous pressure on traditional concepts of humanist subjectivity. Topics include New York School painting, pop art, minimalism, process art, conceptual art, performance, and site-specificity."
"Siry,Joseph M.",.M.W.F. 09:50AM-10:40AM;,CFAHALL;,60,10,10,17,NA,15,15,5,5,FALSE,01,ARHA258,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(ENVS),Contemporary World Architecture,FALSE,"This course is a study of architecture and urban design throughout the world from the 1990s to the present. American topics include public and private development in the ""neo-liberal"" city in New York, Chicago, Los Angeles, and post-Katrina New Orleans; contemporary museum architecture; sprawl and New Urbanism; and affordable housing, both urban and rural. Major American architects considered include Frank Gehry, Richard Meier, Daniel Libeskind, and Diller + Scofidio (+Renfro). In Europe, the focus is on contemporary public architecture in Berlin, London, Paris, Valencia, Lisbon, Rome, and Athens, with attention to major works of Sir Norman Foster, Zaha Hadid, Jean Nouvel, Santiago Calatrava, Rem Koolhaas, and Renzo Piano. In China we will study state monuments of the Communist Party in Beijing and issues of preservation and urban development there and in Shanghai. In Japan the recent work of Tadao Ando and Shigeru Ban is a focus, as are selected projects by other architects in Tokyo and Yokohama. Additional lectures will treat airport architecture and sites in India, Jerusalem, Cairo, Guinea, South Africa, Rio di Janeiro, and Quito, Ecuador. The last quarter of the course focuses on green or sustainable architecture, including passive and active solar heating, photovoltaics, energy-efficient cooling and ventilation, timber and rammed-earth techniques, LEEDs certification, wind and geo-exchange energy, green skyscrapers, vertical farming, and zero-carbon cities."
"Rogan,Clare I.",..T.R.. 02:50PM-04:10PM;,BOGH113;,19,6,4,13,NA,4,2,3,0,FALSE,01,ARHA260,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST)(IDEA-MN),History of Prints,FALSE,"For centuries, printmaking was the only way to reproduce visual images and was vital for the communication of ideas and the spread of artistic styles. This course examines the techniques, production, circulation, and collection of prints in Europe and the United States from the 15th century to the present. In the 19th century, as photography took on the role of reproduction, printmakers reconsidered the artistic possibilities, reemphasizing the artist's touch and turning to renewed political uses. The course supplements lectures with study of the print collection of the Davison Art Center. Topics include aesthetics, connoisseurship, commerce, and technology."
"Sena,Yunchiahn Chen",.M.W... 02:50PM-04:10PM;,BOGH113;,19,5,5,11,NA,2,2,5,0,FALSE,01,ARHA278,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(CEAS-MN)(CEAS)(CEAS-Arha/Art),Goddesses and Heroines: Images of Women in the Art of China and Taiwan,TRUE,"This course examines the history of visual representations of women in China and Taiwan from the 12th to the early 20th century. During this period, images of women increasingly appeared in the art of China and Taiwan as guardians and advocates for the weak and the suffering, as well as political or moral allegories. These mythical and legendary figures, such as Guanyin, Mazu, and Nie Xiaoqian, empowered both women and men who were in poverty, peril, or despair. Their heroic and divine images combine traits of feminine qualities highlighted in a male-chauvinistic tradition and symbols of a mega-being beyond any gender-specific definition. By tracing the formation and transformation of images of women in the art of China and Taiwan, this course will explore three themes: (1) the development of female cults in the visual cultures of China and Taiwan; (2) the relationship of feminine representation, human morality, and divine power in Chinese and Taiwanese societies; (3) the negotiation of political and cultural identities in these societies through the appropriation of female images. The goal of this course is to offer students contextualized knowledge about women's roles in the arts and visual cultures of China and Taiwan."
"Sena,Yunchiahn Chen",.M.W... 10:50AM-12:10PM;,TBA,19,5,4,18,NA,3,4,3,0,FALSE,01,ARHA282,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Art of Dissidents and Recluses: Chinese Literati Painting and Calligraphy,TRUE,"During the mid-eleventh century, a group of Chinese dissidents and recluses, known for their independent views on political and social issues, began to explore new forms of artistic expression. The results of their effort challenged the status quo in Chinese art and eventually developed into a unique tradition, known as literati art. The tradition left a strong imprint in Chinese culture today and its impact can also be felt throughout East Asia, especially Korea and Japan. This course examines this artistic tradition and its legacy in today's China and East Asia."
"Zeltsman,Corinna",..T.R.. 08:50AM-10:10AM;,JUDD113;,25,2,3,17,NA,4,4,7,5,FALSE,01,HIST297,Fall2016,SBS HIST,Graded,None,(ARHA-MN)(ARHA)(ARST)(HIST-MN)(LAST),Mexican History and Visual Culture from Conquest to the Present,TRUE,"This course offers an introduction to Mexico's history from the conquest of indigenous empires to the present, paying special attention to how images and visual culture--from the Virgin of Guadalupe to patriotic parades to lucha libre--not only reflected, but also shaped, Mexican society and its political development. Through this lens, we explore the construction and unraveling of the colonial system, the emergence of the nation, the upheaval of the first major social revolution of the 20th century and its aftermath, and contemporary events. In addition to providing an introduction to major historical phenomena and debates, this course also familiarizes students with methods for using visual materials to understand and interpret the past."
"Noyes,Ruth",..T.R.. 10:20AM-11:40AM;,BOGH115;,19,5,5,1,NA,4,3,2,NA,FALSE,01,ARHA329,Fall2016,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),The World of Michelangelo,FALSE,"This course is an examination of the works by Michelangelo in painting, sculpture, architecture, and poetry in the light of the social, religious, and political worlds in which he participated. Special attention will be paid to his relationship to the Medici in Florence and his papal patrons in Rome. The seminar emphasizes the early sources as ways to understand how Michelangelo's works were experienced by his contemporaries. This involves the relationship between art and the divine and the erotics of represented beauty."
"Katz,Melissa R.",..T.R.. 02:50PM-04:10PM;,FISK410;,15,NA,NA,7,NA,NA,NA,NA,15,FALSE,01,FIST126,Spring2017,HA RLAN,Student Option,None,(ARHA),El Greco to Picasso: Modern Art's Passion for Golden Age Spain,TRUE,"This course examines the life and afterlife of the Spanish artists of the Golden Age, whose achievements reached unprecedented heights in the 17th century. Centuries later, their works took on new roles as artists of other times and cultures found their own inspiration in works of the past: Manet copied Vel�zquez, Picasso copied El Greco, and (famously on ""Project Runway"") Christian Soriano copied Murillo. What allowed these complex works to resonate so strongly in another era? Is such influence automatically a sign of success? And why have the works of Francisco Goya inspired more filmmakers than any other artist? Students will be introduced to the reading of visual art for stylistic, historical, and political content and develop a critical understanding of art and society in Golden Age Spain, as well as insights into the role of art as a cultural currency."
"Siry,Joseph M.",.M.W... 10:50AM-12:10PM;,CFAHALL;,60,6,6,20,NA,6,6,18,18,FALSE,01,ARHA151,Spring2017,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARST)(IDEA-MN)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),European Architecture to 1750,TRUE,"This course is an introduction to architecture and related visual art as an expression of pre-modern Western European civilizations, from ancient Greece through the early 18th century, including Roman, early Christian, Byzantine, early medieval, Romanesque, Gothic, Renaissance, and Baroque architecture, landscapes, and cities. The focus is on analysis of form in architecture and the allied arts. Emphasis is on relationships between style and patronage. In each era, how does architecture help to constitute its society's identity? What is the relationship between style and ideology? How do architects respond to the works of earlier architects, either innovatively or imitatively? How do patrons respond to the works of their predecessors, either locally or distantly? How are works of architecture positioned within those structures of power that the works, in turn, help to define? How do monuments celebrate selected aspects of history and suppress others? How were the major buildings configured, spatially and materially? Emphasis will be on continuities and distinctions between works across time, seeing Western traditions as a totality over centuries. Lectures and readings convey different historiographic approaches to these issues."
"Parslow,Christopher    Birney,Kate",.....F. 01:20PM-04:10PM;,DDS;,15,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,01,CCIV341,Spring2017,HA CLAS,Graded,None,(ARCP)(CCIV),Visualizing the Classical,TRUE,"This course is a project-based learning course that integrates archaeology, classical texts, and the technologies of virtual construction to rebuild the material remains of the ancient world. Student teams will draw upon theories of urban design, engineering, and performance theory to create a material or virtual reconstruction of a classical built environment or object. Through the reconstruction of such spaces, we will explore how the ancient builders and craftsmen--through landscape, sound, light, functionality and monumentality, spatial relationships--shaped the experience of the ancient viewer. The course is divided into three modules. The first module will use case studies to survey the principles of archaeological reconstruction and explore the concepts and language of design and planning used by archaeologists and design specialists. These case studies will range from Greek and Roman temples, to city blocks and houses, to public spaces for entertainment or governance. In the second module, a series of technology workshops and in-class projects will give students hands-on training in the analytical mapping, modeling, interpretive, and reconstructive approaches such as ArcGIS, CAD, Sketchup and 3D printing. This practical training will form the foundation for the third module, during which student teams will apply these technologies to collaborate on the reconstruction of an ancient built environment or object. During this section of the course, students will discuss and collectively troubleshoot the problems of design and reconstruction they encounter as they go. Students will present their work at the end of the course, and discussion will focus on the insight that the process of reconstruction has offered into principles of ancient design and the values of ancient communities. This seminar will be of interest to students with experience in classical studies, archaeology, studio arts, and digital design."
"Noyes,Ruth",..T.R.. 01:20PM-02:40PM;,BOGH112;,25,4,4,9,NA,4,4,5,4,FALSE,01,ARHA212,Spring2017,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(MDST-MN)(MDST)(MDST-Art/Arch)(MDST-History)(MDST-Lang/Lit)(MDST-Phil/Reli),Lost Renaissances: Art & Architecture of Medieval Italy and the Mediterranean,TRUE,"This course traces the multiple though now largely forgotten renaissances, or flourishings of cultural and artistic activity fueled largely by the recuperation of the classical past, in Medieval Italy and across the Mediterranean world. We will examine works of art and architecture of Italian centers including Rome, Sicily, Venice, Pisa, Padua, Siena, and Florence. With an emphasis on the art of inter-cultural relations in the medieval Mediterranean, we will explore and discuss how the intensive interactions of Roman (pre-Christian), Islamic, and Christian communities during the medieval period, c. 300-1300, were essentially shaped by works of art.Together, we will: debate the relevancy of present-day ideas in art and politics for understanding past cultures (and vice versa), witness an Islamic caliph's gift of an elephant to a Christian king (and consider how ""gifts"" could also be ""art""), discover the art of hydromancy (water magic), and uncover how a French king in Sicily employed Islamic artists to decorate his pleasure palace. This course explores what the great Spanish historian Americo Castro referred to as ""convivencia,"" the co-existence of medieval cultures, as recorded in intercultural objects of luxury, piety, and beauty. Other themes explored in the course include cultural continuity, the omnipresence of the classical Roman/pagan culture in Christian empire, the power and use associated with art objects, and the sometimes surprising role of women in the medieval Mediterranean."
"Noyes,Ruth",..T.R.. 10:20AM-11:40AM;,BOGH112;,19,4,4,5,NA,0,0,6,5,FALSE,01,ARHA224,Spring2017,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST),Italian Art and Architecture of the 16th Century. Art as science in Italy: Leonardo to Galileo,FALSE,"In addition to key monuments of 16th-century Italian art and architecture, this course seeks to introduce students to some of the most important figures of the period: artists and architects--such as Leonardo, Raphael, Bronzino, Michelangelo, Titian, and Palladio; their princely and ecclesiastical patrons--such as Cosimo I de' Medici and Julius II; and their critics and biographers--such as Dolce and Vasari. Our aim will be to understand the complex artistic and architectural landscape of the period against the backdrop of shifting intellectual and religious trends, such as the Counter-Reformation. Class discussions will be based on close readings of primary sources and scholarly texts on a wide range of topics.This semester the course takes up the thematic prism ""Art as science in Italy: Leonardo to Galileo,"" to examine images, objects, monuments and practices from the history of art circa 1500-1600. We will explore a revaluation of the often opposed historical categories of Science and Art, together with their associated practices, artifacts, and institutions. By considering works of art (understood broadly as artisanal crafts, and the technical and fine arts) from the ambit of Leonardo da Vinci through Galileo Galilei, and their contemporaries, we investigate the possibility that the objective and rational pursuit of natural truths, and the subjective and emotional pursuit of human creativity, were intertwined in the unified Renaissance endeavor to understand and represent the radically changing early modern world, and the embodied experience of living in that world. Themes covered include embodied knowledge, visualizations of imperceptible natural phenomena, aesthetic objects as scientific instruments, the artist's studio as experimental laboratory, and the facilitation of scientific discovery and cultural exchange among diverse communities by means of the circulation of art objects."
"Parslow,Christopher",.M.W... 02:50PM-04:10PM;,BOGH115;,19,4,4,2,NA,4,3,3,1,FALSE,01,CCIV234,Spring2017,HA CLAS,Graded,None,(ARCP-MN)(ARCP)(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(CCIV)(CLAS),Art and Society in Ancient Pompeii,TRUE,"This seminar surveys the art, architecture, and material remains of the cities buried by the eruption of Mt. Vesuvius in 79 CE. Through readings, class discussions, and student research presentations, we will explore the ways in which this material can be used to study the social and political life of a small Roman city and examine the unique evidence for reconstructing the private life of Roman citizens, from their participation in local politics and government, to their religious beliefs and lives, to the interior decoration of their homes and their burial customs."
"Kuenzli,Katherine M.",.M.W... 10:50AM-12:10PM;,BOGH112;,30,4,4,8,NA,5,5,6,6,FALSE,01,ARHA240,Spring2017,HA ART,Graded,None,(ARHA-MN)(ARHA)(ARHA-Asian/Isla)(ARHA-Eur/Am/Afr)(ARST)(COL)(FRST-MN)(FRST),Modernism and Modernity in 19th-Century French Painting,TRUE,"This course looks at factors that contributed to Paris's rise as the preeminent artistic center in the West at the time of the French Revolution and traces the evolution of French art throughout what would prove to be an extraordinary century of formal advance and experiment ending in impressionism and postimpressionism. The story of French art is one in which timeless ideals and triumphal narratives were continually put under pressure by the imperative to model the contingency of modern experience. Themes we will explore in this class include the significance of a public sphere for art making and the relationship between artistic advance and appeals to an ever-widening public; painting and revolution; history painting; the persistence of classical ideals and their relationship to modern subjects and experience; the new focus on sensation and the rise of landscape painting; the decline of narrative in painting in favor of form and surface; the relationship between modern art and academic practice; the rise of feminism and attempts on the part of women artists to find their own voice in a masculine practice; the conflict between the unabashed pursuit of artistic individualism and the need to define collective values and experience; the significance of the decorative to painting at the end of the century; and the relationship between art's embrace of privacy, domesticity, and intimacy at the end of the century and France's revolutionary legacy."
